regions,seasons,et_pcode,bait_type,n_occurecnes,max_occurecnes,rel_occurences,n_abundance,max_abundance,rel_abundance
png,dry,1700_1,lipid,2,5,0.4,41,41,1
png,dry,1700_1,nacl,1,5,0.2,3,41,0.37
png,dry,1700_2,amino_acid,1,2,0.5,12,12,1
png,dry,1700_2,cho_amino_acid,2,2,1,6,12,0.76
png,dry,1700_2,h2o,1,2,0.5,1,12,0.27
png,dry,1700_2,nacl,1,2,0.5,1,12,0.27
png,dry,200_1,amino_acid,1,7,0.14285714285714285,2,575,0.17
png,dry,200_1,cho,7,7,1,129,575,0.77
png,dry,200_1,cho_amino_acid,3,7,0.42857142857142855,37,575,0.57
png,dry,200_1,h2o,2,7,0.2857142857142857,3,575,0.22
png,dry,200_1,lipid,5,7,0.7142857142857143,575,575,1
png,dry,200_1,nacl,2,7,0.2857142857142857,7,575,0.33
png,dry,200_2,amino_acid,3,7,0.42857142857142855,3,26,0.42
png,dry,200_2,cho,5,7,0.7142857142857143,26,26,1
png,dry,200_2,cho_amino_acid,6,7,0.8571428571428571,19,26,0.91
png,dry,200_2,h2o,2,7,0.2857142857142857,16,26,0.86
png,dry,200_2,lipid,4,7,0.5714285714285714,8,26,0.67
png,dry,200_2,nacl,7,7,1,13,26,0.8
png,dry,2200_1,cho,1,2,0.5,1,10,0.29
png,dry,2200_1,cho_amino_acid,2,2,1,3,10,0.58
png,dry,2200_1,lipid,1,2,0.5,10,10,1
png,dry,2200_1,nacl,1,2,0.5,4,10,0.67
png,dry,2200_2,cho,3,3,1,23,23,1
png,dry,2200_2,cho_amino_acid,2,3,0.6666666666666666,4,23,0.51
png,dry,2200_2,h2o,1,3,0.3333333333333333,1,23,0.22
png,dry,2200_2,nacl,2,3,0.6666666666666666,8,23,0.69
png,dry,700_1,cho,5,5,1,13,93,0.58
png,dry,700_1,h2o,1,5,0.2,2,93,0.24
png,dry,700_1,lipid,4,5,0.8,93,93,1
png,dry,700_2,amino_acid,3,5,0.6,4,26,0.49
png,dry,700_2,cho,1,5,0.2,1,26,0.21
png,dry,700_2,cho_amino_acid,2,5,0.4,4,26,0.49
png,dry,700_2,lipid,5,5,1,15,26,0.84
png,dry,700_2,nacl,2,5,0.4,26,26,1
png,wet,1200_1,amino_acid,5,7,0.7142857142857143,40,248,0.67
png,wet,1200_1,cho,4,7,0.5714285714285714,45,248,0.69
png,wet,1200_1,cho_amino_acid,7,7,1,33,248,0.64
png,wet,1200_1,h2o,4,7,0.5714285714285714,5,248,0.32
png,wet,1200_1,lipid,5,7,0.7142857142857143,248,248,1
png,wet,1200_1,nacl,2,7,0.2857142857142857,2,248,0.2
png,wet,1200_2,amino_acid,6,9,0.6666666666666666,35,394,0.6
png,wet,1200_2,cho,6,9,0.6666666666666666,100,394,0.77
png,wet,1200_2,cho_amino_acid,2,9,0.2222222222222222,27,394,0.56
png,wet,1200_2,h2o,1,9,0.1111111111111111,3,394,0.23
png,wet,1200_2,lipid,9,9,1,394,394,1
png,wet,1200_2,nacl,6,9,0.6666666666666666,46,394,0.64
png,wet,1700_1,amino_acid,2,5,0.4,3,106,0.3
png,wet,1700_1,cho,3,5,0.6,38,106,0.78
png,wet,1700_1,cho_amino_acid,2,5,0.4,5,106,0.38
png,wet,1700_1,h2o,3,5,0.6,13,106,0.56
png,wet,1700_1,lipid,5,5,1,106,106,1
png,wet,1700_1,nacl,5,5,1,36,106,0.77
png,wet,1700_2,amino_acid,3,4,0.75,8,68,0.52
png,wet,1700_2,cho_amino_acid,4,4,1,19,68,0.71
png,wet,1700_2,h2o,1,4,0.25,2,68,0.26
png,wet,1700_2,lipid,4,4,1,68,68,1
png,wet,1700_2,nacl,2,4,0.5,3,68,0.33
png,wet,200_1,amino_acid,5,10,0.5,11,125,0.51
png,wet,200_1,cho,4,10,0.4,28,125,0.7
png,wet,200_1,cho_amino_acid,6,10,0.6,57,125,0.84
png,wet,200_1,h2o,7,10,0.7,40,125,0.77
png,wet,200_1,lipid,9,10,0.9,125,125,1
png,wet,200_1,nacl,10,10,1,22,125,0.65
png,wet,200_2,amino_acid,6,8,0.75,37,528,0.58
png,wet,200_2,cho,7,8,0.875,63,528,0.66
png,wet,200_2,cho_amino_acid,8,8,1,25,528,0.52
png,wet,200_2,lipid,8,8,1,528,528,1
png,wet,200_2,nacl,6,8,0.75,263,528,0.89
png,wet,2200_1,amino_acid,1,3,0.3333333333333333,1,5,0.39
png,wet,2200_1,cho,2,3,0.6666666666666666,4,5,0.9
png,wet,2200_1,cho_amino_acid,1,3,0.3333333333333333,3,5,0.77
png,wet,2200_1,lipid,3,3,1,5,5,1
png,wet,2200_2,amino_acid,1,2,0.5,1,5,0.39
png,wet,2200_2,cho,2,2,1,4,5,0.9
png,wet,2200_2,cho_amino_acid,2,2,1,3,5,0.77
png,wet,2200_2,lipid,1,2,0.5,5,5,1
png,wet,2200_2,nacl,2,2,1,2,5,0.61
png,wet,700_1,amino_acid,1,7,0.14285714285714285,5,73,0.42
png,wet,700_1,cho,6,7,0.8571428571428571,21,73,0.72
png,wet,700_1,cho_amino_acid,7,7,1,68,73,0.98
png,wet,700_1,h2o,3,7,0.42857142857142855,6,73,0.45
png,wet,700_1,lipid,7,7,1,73,73,1
png,wet,700_1,nacl,6,7,0.8571428571428571,49,73,0.91
png,wet,700_2,amino_acid,3,6,0.5,12,115,0.54
png,wet,700_2,cho,6,6,1,70,115,0.9
png,wet,700_2,cho_amino_acid,5,6,0.8333333333333334,115,115,1
png,wet,700_2,h2o,4,6,0.6666666666666666,38,115,0.77
png,wet,700_2,lipid,4,6,0.6666666666666666,38,115,0.77
png,wet,700_2,nacl,6,6,1,52,115,0.84
tanzania,dry,1130_1,amino_acid,2,5,0.4,11,47,0.64
tanzania,dry,1130_1,cho,5,5,1,47,47,1
tanzania,dry,1130_1,cho_amino_acid,2,5,0.4,3,47,0.36
tanzania,dry,1130_1,h2o,2,5,0.4,10,47,0.62
tanzania,dry,1130_1,lipid,2,5,0.4,25,47,0.84
tanzania,dry,1130_1,nacl,3,5,0.6,20,47,0.79
tanzania,dry,1920_1,amino_acid,2,8,0.25,2,45,0.29
tanzania,dry,1920_1,cho,7,8,0.875,22,45,0.82
tanzania,dry,1920_1,cho_amino_acid,8,8,1,26,45,0.86
tanzania,dry,1920_1,lipid,5,8,0.625,45,45,1
tanzania,dry,1920_1,nacl,4,8,0.5,5,45,0.47
tanzania,dry,2020_1,cho,2,2,1,2,38,0.3
tanzania,dry,2020_1,cho_amino_acid,1,2,0.5,1,38,0.19
tanzania,dry,2020_1,lipid,2,2,1,38,38,1
tanzania,dry,871_1,amino_acid,7,7,1,284,1143,0.8
tanzania,dry,871_1,cho,5,7,0.7142857142857143,1143,1143,1
tanzania,dry,871_1,cho_amino_acid,5,7,0.7142857142857143,798,1143,0.95
tanzania,dry,871_1,h2o,3,7,0.42857142857142855,934,1143,0.97
tanzania,dry,871_1,lipid,2,7,0.2857142857142857,257,1143,0.79
tanzania,dry,871_1,nacl,4,7,0.5714285714285714,313,1143,0.82
tanzania,wet,1620_1,amino_acid,4,4,1,6,44,0.51
tanzania,wet,1620_1,cho,3,4,0.75,9,44,0.6
tanzania,wet,1620_1,cho_amino_acid,4,4,1,7,44,0.55
tanzania,wet,1620_1,h2o,3,4,0.75,3,44,0.36
tanzania,wet,1620_1,lipid,4,4,1,44,44,1
tanzania,wet,1620_1,nacl,1,4,0.25,1,44,0.18
tanzania,wet,1650_1,cho_amino_acid,1,2,0.5,1,2,0.63
tanzania,wet,1650_1,lipid,2,2,1,2,2,1
tanzania,wet,2040_1,cho,2,2,1,16,16,1
tanzania,wet,2040_1,cho_amino_acid,1,2,0.5,9,16,0.81
tanzania,wet,2040_1,nacl,1,2,0.5,1,16,0.24
tanzania,wet,912_1,amino_acid,1,5,0.2,15,790,0.42
tanzania,wet,912_1,cho,5,5,1,192,790,0.79
tanzania,wet,912_1,cho_amino_acid,5,5,1,790,790,1
tanzania,wet,912_1,h2o,3,5,0.6,23,790,0.48
tanzania,wet,912_1,lipid,3,5,0.6,47,790,0.58
tanzania,wet,912_1,nacl,4,5,0.8,9,790,0.35
tanzania,wet,950_1,amino_acid,4,6,0.6666666666666666,34,454,0.58
tanzania,wet,950_1,cho,5,6,0.8333333333333334,262,454,0.91
tanzania,wet,950_1,cho_amino_acid,6,6,1,206,454,0.87
tanzania,wet,950_1,h2o,4,6,0.6666666666666666,16,454,0.46
tanzania,wet,950_1,lipid,4,6,0.6666666666666666,454,454,1
tanzania,wet,950_1,nacl,4,6,0.6666666666666666,124,454,0.79
tanzania,wet,993_1,amino_acid,6,6,1,16,111,0.6
tanzania,wet,993_1,cho,5,6,0.8333333333333334,111,111,1
tanzania,wet,993_1,cho_amino_acid,3,6,0.5,21,111,0.66
tanzania,wet,993_1,h2o,2,6,0.3333333333333333,9,111,0.49
tanzania,wet,993_1,lipid,2,6,0.3333333333333333,10,111,0.51
tanzania,wet,993_1,nacl,4,6,0.6666666666666666,20,111,0.65
png,wet,200_2,h2o,0,8,0,0,528,0
png,dry,700_1,cho_amino_acid,0,5,0,0,93,0
png,dry,700_1,nacl,0,5,0,0,93,0
png,dry,700_1,amino_acid,0,5,0,0,93,0
png,dry,700_2,h2o,0,5,0,0,26,0
png,dry,1200_1,amino_acid,0,6,0,0,35,0
png,dry,1200_2,amino_acid,0,5,0,0,154,0
png,dry,1200_2,cho_amino_acid,0,5,0,0,154,0
png,dry,1200_2,h2o,0,5,0,0,154,0
png,dry,1700_1,h2o,0,5,0,0,41,0
png,dry,1700_2,cho,0,2,0,0,12,0
png,dry,1700_2,lipid,0,2,0,0,12,0
png,wet,1700_2,cho,0,4,0,0,68,0
png,dry,2200_1,h2o,0,2,0,0,10,0
png,dry,2200_1,amino_acid,0,2,0,0,10,0
png,dry,2200_2,lipid,0,3,0,0,23,0
png,dry,2200_2,amino_acid,0,3,0,0,23,0
png,wet,2200_1,nacl,0,3,0,0,5,0
png,wet,2200_1,h2o,0,3,0,0,5,0
png,wet,2200_2,h2o,0,2,0,0,5,0
ecuador,wet,1000_10,h2o,0,6,0,0,129,0
ecuador,wet,1000_20,h2o,0,7,0,0,88,0
ecuador,wet,1000_20,amino_acid,0,7,0,0,88,0
ecuador,wet,1000_30,amino_acid,0,4,0,0,25,0
ecuador,wet,1500_10,h2o,0,5,0,0,84,0
ecuador,wet,1500_10,amino_acid,0,5,0,0,84,0
ecuador,wet,1500_20,h2o,0,4,0,0,37,0
ecuador,wet,1500_20,amino_acid,0,4,0,0,37,0
ecuador,wet,1500_30,amino_acid,0,4,0,0,11,0
ecuador,dry,1500_30,amino_acid,0,7,0,0,122,0
ecuador,wet,2000_10,nacl,0,6,0,0,33,0
ecuador,wet,2000_10,amino_acid,0,6,0,0,33,0
ecuador,dry,2000_10,h2o,0,4,0,0,14,0
ecuador,dry,2000_10,cho,0,4,0,0,14,0
ecuador,wet,2000_20,h2o,0,2,0,0,37,0
ecuador,wet,2000_20,amino_acid,0,2,0,0,37,0
ecuador,wet,2000_20,lipid,0,2,0,0,37,0
ecuador,dry,2000_20,h2o,0,3,0,0,17,0
ecuador,dry,2000_20,nacl,0,3,0,0,17,0
ecuador,dry,2000_20,cho,0,3,0,0,17,0
ecuador,wet,2000_30,amino_acid,0,6,0,0,99,0
ecuador,dry,2000_30,h2o,0,4,0,0,19,0
ecuador,wet,2500_10,nacl,0,3,0,0,23,0
ecuador,wet,2500_10,cho_amino_acid,0,3,0,0,23,0
ecuador,wet,2500_10,lipid,0,3,0,0,23,0
ecuador,dry,2500_10,h2o,0,3,0,0,7,0
ecuador,dry,2500_10,cho,0,3,0,0,7,0
ecuador,wet,2500_20,h2o,0,3,0,0,28,0
ecuador,wet,2500_20,nacl,0,3,0,0,28,0
ecuador,dry,2500_20,lipid,0,4,0,0,13,0
ecuador,dry,2500_30,h2o,0,2,0,0,5,0
ecuador,dry,2500_30,amino_acid,0,2,0,0,5,0
ecuador,dry,2500_30,lipid,0,2,0,0,5,0
tanzania,dry,1920_1,h2o,0,8,0,0,45,0
tanzania,wet,1650_1,amino_acid,0,2,0,0,2,0
tanzania,wet,1650_1,nacl,0,2,0,0,2,0
tanzania,wet,1650_1,cho,0,2,0,0,2,0
tanzania,wet,1650_1,h2o,0,2,0,0,2,0
tanzania,dry,2020_1,amino_acid,0,2,0,0,38,0
tanzania,dry,2020_1,nacl,0,2,0,0,38,0
tanzania,dry,2020_1,h2o,0,2,0,0,38,0
tanzania,wet,2040_1,amino_acid,0,2,0,0,16,0
tanzania,wet,2040_1,lipid,0,2,0,0,16,0
tanzania,wet,2040_1,h2o,0,2,0,0,16,0
